iter	Passed	Remaining
0	0	85
1	1	76
2	2	71
3	2	67
4	3	65
5	4	64
6	4	63
7	5	62
8	6	61
9	6	60
10	7	59
11	8	58
12	8	57
13	9	57
14	9	56
15	10	56
16	11	55
17	12	54
18	12	54
19	13	53
20	14	52
21	14	52
22	15	51
23	15	50
24	16	49
25	17	49
26	17	48
27	18	47
28	19	47
29	19	46
30	20	45
31	21	44
32	21	44
33	22	43
34	23	42
35	23	42
36	24	41
37	25	40
38	25	40
39	26	39
40	27	39
41	27	38
42	28	37
43	28	36
44	29	36
45	30	35
46	30	34
47	31	34
48	32	33
49	32	32
50	33	32
51	34	31
52	34	30
53	35	30
54	36	29
55	36	28
56	37	28
57	37	27
58	38	26
59	39	26
60	39	25
61	40	24
62	41	24
63	42	23
64	42	22
65	43	22
66	44	21
67	44	21
68	45	20
69	46	19
70	46	19
71	47	18
72	48	17
73	48	17
74	49	16
75	49	15
76	50	15
77	51	14
78	51	13
79	52	13
80	53	12
81	53	11
82	54	11
83	55	10
84	55	9
85	56	9
86	57	8
87	57	7
88	58	7
89	59	6
90	59	5
91	60	5
92	61	4
93	61	3
94	62	3
95	62	2
96	63	1
97	64	1
98	64	0
99	65	0
